"17191","williams, professor e","6","£692,551.00"
"37350","james, mr s","1","£141,117.00"
"12136","partridge, professor d","5","£819,786.00"
"5440","foster, mr m","2","£366,436.00"
"11844","oliver, mr t","6","£748,287.00"
"28447","ziolkowski, professor a","2","£198,874.00"
"6736","hannah, dr jm","1","£168,295.00"
"42143","mills, mr j","1","£120,600.00"
"68579","edwards, professor j","2","£148,946.00"
"4629","earnshaw, professor e","7","£858,861.00"
"65711","reay, professor d","3","£374,405.00"
"51845","zervas, professor m","5","£2,763,365.00"
"16225","van isacker, dr p","2","£922,640.00"
"9891","macgregor, professor sj","6","£709,168.00"
"25572","ward, professor im","23","£3,097,074.00"
"13406","roberts, dr js","5","£757,252.00"
"37339","rust, professor c","1","£94,925.00"
"1029","batchelor, professor r","1","£28,032.00"
"65512","edwards, professor d","1","£167,973.00"
"17241","wills, professor m","8","£660,107.00"
"13626","ross, dr j","2","£274,542.00"
"29580","pearce, mr d","1","£219,337.00"
"8088","islam, professor ms","5","£222,390.00"
"46001","birkin, dr pr","1","£102,687.00"
"21333","lawrence, professor n","3","£252,919.00"
"16956","whiteman, dr j","1","£137,645.00"
"54515","abell, professor js","21","£11,008,511.00"
"98","affrossman, dr s","5","£353,685.00"
"28303","dunne, dr pe","1","£134,777.00"
"13962","savory, dr e","1","£52,056.00"
"7183","hepburn, dr a","5","£292,382.00"
"12985","randell, professor b","1","£5,888.00"
"34229","bright, mr j","1","£123,660.00"
"16257","vaughan, professor nd","6","£2,281,129.00"
"31961","pulham, professor c","4","£1,505,763.00"
"7370","hines, dr e","3","£393,821.00"
"14393","siddiqui, dr s","5","£893,706.00"
"44632","french, dr m","2","£420,786.00"
"31907","spink, dr a","1","£126,658.00"
"16535","ward, professor ni","2","£157,512.00"
"16306","vincent, professor c","4","£524,235.00"
"44213","collins, professor m","1","£176,652.00"
"14536","skipper, mr m","1","£76,589.00"
"83558","hoare, professor sir c","12","£795,338.00"
"27890","see, dr c","9","£1,190,725.00"
"14252","shaw, professor b","4","£411,217.00"
"44682","voice, dr a","1","£73,903.00"
"64390","rushton, mr s","2","£437,328.00"
"7833","hughes, mr w","1","£60,883.00"
"27992","kirby, dr g","2","£385,645.00"
"71634","croudace, professor i","1","£52,054.00"
"35587","han, dr t","1","£195,525.00"
"48605","farnan, dr i","1","£1,221,420.00"
"40596","pistikopoulos, professor e","2","£248,706.00"
"17155","williams, dr p","1","£59,813.00"
"9177","lappert, professor mf","7","£782,920.00"
"2092","brown, professor c","1","£391,061.00"
"22220","van santen, mr p","1","£97,633.00"
"3735","d'inverno, professor r","1","£66,220.00"
"13881","sanderson, dr m","1","£228,383.00"
"4413","downing, dr o","2","£211,522.00"
"8517","jones, professor h","10","£2,108,803.00"
"88227","campbell, dr i","6","£190,606.00"
"26893","stack, professor m","2","£175,694.00"
"32084","hill, dr k","1","£23,485.00"
"372","andrews, professor ge","10","£1,554,541.00"
"10190","marshall, mr c","1","£93,010.00"
"2106","brown, professor p","10","£466,260.00"
"3274","cook, professor mj","7","£663,696.00"
"32387","kara, dr m","2","£223,386.00"
"59145","roy, professor r","1","£184,515.00"
