Id	Label	Num	Val
1	accelerator r&d	1	34914	
2	acoustics	163	42759760	
3	aerodynamics	227	68273323	
4	agricultural systems	1	11814897	
5	algebra & geometry	558	87645143	
6	analytical science	352	127585114	
7	animal & human physiology	15	1540368	
8	applied arts htp	3	105995	
9	applied linguistics	1	62765	
10	archaeology of literate soc.	1	29505	
11	artificial intelligence	424	113099037	
12	assess/remediate contamination	91	25224774	
13	astron. & space sci. technol.	3	224705	
14	asymmetric chemistry	155	29828358	
15	atoms & ions	5	1680041	
16	bioelectronic devices	73	59252437	
17	bioenergy	70	37946111	
18	bioinformatics	115	42302496	
19	biological & medicinal chem.	392	156620153	
20	biological membranes	9	1459588	
21	biomaterials	290	102615189	
22	biomechanics & rehabilitation	57	31226401	
23	biomedical neuroscience	137	54141902	
24	biomedical sciences	1	198439	
25	bionanoscience	2	477392	
26	bionanotechnology	2	125500	
27	biophysics	21	7431980	
28	bioprocess engineering	121	30620921	
29	building ops & management	235	93514233	
30	carbohydrate chemistry	36	21765823	
31	carbon capture & storage	12	19049408	
32	catalysis & applied catalysis	534	128331364	
33	catalysis & enzymology	14	6138451	
34	cell cycle	1	118280	
35	cells	173	82995878	
36	chemical biology	377	146872141	
37	chemical structure	518	163434000	
38	chemical synthetic methodology	833	228631699	
39	civil engineering materials	204	67313044	
40	co-ordination chemistry	202	52721606	
41	coal technology	31	21285362	
42	coastal & waterway engineering	179	41536247	
43	cognitive science appl. in ict	124	34034420	
44	cold atomic species	118	48847399	
45	combinatorial chemistry	79	43819067	
46	combustion	230	62256796	
47	complex fluids & soft solids	308	101368533	
48	complexity science	78	27358020	
49	comput./corpus linguistics	45	12458975	
50	computational methods & tools	1	99613	
51	computer graphics & visual.	92	24505256	
52	computer sys. & architecture	15	11141810	
53	condensed matter physics	414	159648712	
54	construction ops & management	210	106725995	
55	continuum mechanics	303	52884668	
56	control engineering	254	123237305	
57	crop science	1	1302692	
58	cultural history	1	2708997	
59	cultural studies & pop culture	1	12584584	
60	design & testing technology	123	88150086	
61	design engineering	148	98718525	
62	design htp	4	12422292	
63	design of process systems	163	78410261	
64	design processes	121	104501536	
65	development (biosciences)	67	17763030	
66	digital art & design	3	12381437	
67	digital arts htp	3	14889857	
68	digital signal processing	248	76784917	
69	displays	50	38143712	
70	drama & theatre - other	1	38565	
71	drug formulation & delivery	140	42874611	
72	economic & social history	1	2708997	
73	economics	4	24202309	
74	education	11	2501690	
75	electric motor & drive systems	79	31754971	
76	electrochemical science & eng.	154	49154033	
77	electromagnetics	52	25946802	
78	electronic devices & subsys.	380	187642388	
79	energy - conventional	62	44460426	
80	energy - marine & hydropower	36	24951360	
81	energy - nuclear	39	42728955	
82	energy efficiency	180	92407766	
83	energy storage	55	33428341	
84	eng. dynamics & tribology	295	105820527	
85	environmental informatics	1	623007	
86	environmental planning	1	11814897	
87	escience	41	38022845	
88	evolution & populations	1	142910	
89	fluid dynamics	216	68289650	
90	food processing	3	1209056	
91	food structure/composition	1	144592	
92	fuel cell technologies	121	46342449	
93	fundamentals of computing	673	137993580	
94	fusion	26	164347711	
95	galactic & interstellar astron	2	142346	
96	gas & solution phase reactions	260	87744036	
97	genomics	94	57085247	
98	ground engineering	179	39464108	
99	heat & mass transfer	145	37599948	
100	high performance computing	100	19145394	
101	human communication in ict	121	20144796	
102	human geography	1	11814897	
103	human-computer interactions	294	133564251	
104	hydrological processes	1	24422	
105	image & vision computing	444	142156888	
106	information & knowledge mgmt	428	207334615	
107	instrumentation eng. & dev.	569	223201085	
108	intelligent & expert systems	61	36013579	
109	intelligent measurement sys.	45	13409588	
110	interpreting & translation	2	329655	
111	language acquisition	3	192896	
112	language training/educational	2	121859	
113	languages & linguistics	1	47417	
114	lasers & optics	305	114747052	
115	light-matter interactions	94	30240221	
116	logic & combinatorics	189	38070447	
117	magnetism/magnetic phenomena	126	39643014	
118	management & business studies	7	1871987	
119	mantle & core processes	1	903958	
120	manufact. business strategy	115	110712471	
121	manufact. enterprise ops& mgmt	190	97964202	
122	manufacturing machine & plant	149	128618552	
123	materials characterisation	2389	759734489	
124	materials processing	899	320041055	
125	materials synthesis & growth	1173	430639300	
126	materials testing & eng.	411	179320340	
127	mathematical analysis	397	68015950	
128	mathematical aspects of or	163	62084009	
129	mathematical physics	263	50724586	
130	mech. & fluid power transmiss.	23	6319201	
131	med.instrument.device& equip.	314	149512248	
132	media & communication studies	9	17215909	
133	medical imaging	43	36199261	
134	medical science & disease	279	104492024	
135	mental health	1	12100779	
136	microbiology	1	63956	
137	microsystems	145	78729303	
138	mining & minerals extraction	39	7152469	
139	mobile computing	165	99965326	
140	modelling & simul. of it sys.	102	35914067	
141	multimedia	136	47972775	
142	multiphase flow	177	58497558	
143	musculoskeletal system	7	635908	
144	music & acoustic technology	29	5449813	
145	networks & distributed systems	471	191491096	
146	new & emerging comp. paradigms	158	54258668	
147	new media/web-based studies	10	25175136	
148	non-linear systems mathematics	404	83766241	
149	nuclear structure	86	23145374	
150	numerical analysis	356	75426513	
151	oil & gas extraction	106	20587376	
152	optical communications	152	75655526	
153	optical devices & subsystems	319	160108893	
154	optical phenomena	95	62703041	
155	optoelect. devices & circuits	254	138710965	
156	parallel computing	128	37003920	
157	particle technology	146	46188181	
158	pavement engineering	33	15717787	
159	physical organic chemistry	100	33071090	
160	plasmas - laser & fusion	102	37262964	
161	plasmas - technological	69	12785855	
162	policy, arts mgmt & creat ind	2	2084929	
163	pollution	2	427121	
164	population ecology	65	23685236	
165	power electronics	73	46397828	
166	power sys man, prot & control	96	43354612	
167	power systems plant	63	36516930	
168	product design	3	12380275	
169	protein chemistry	9	967564	
170	protein folding / misfolding	3	466251	
171	psycholinguistics	4	443798	
172	psychology	5	14038727	
173	publishing	4	1213731	
174	quantum fluids & solids	57	19577127	
175	quantum optics & information	156	75409081	
176	reactor engineering	181	38913260	
177	rf & microwave technology	256	99319921	
178	rheology	79	32175984	
179	robotics & autonomy	89	29667115	
180	safety & reliability of plant	18	10624681	
181	scattering & spectroscopy	122	30584497	
182	science-based archaeology	1	61168	
183	separation processes	108	24116911	
184	social stats., comp. & methods	1	488208	
185	sociolinguistics	1	62765	
186	sociology	2	2910846	
187	software engineering	369	126787838	
188	soil science	1	1302692	
189	solar technology	166	82482682	
190	statistics & appl. probability	318	79699402	
191	stem cell biology	1	101745	
192	structural biology	3	822929	
193	structural engineering	120	23242706	
194	surfaces & interfaces	442	189026023	
195	sustainable energy networks	64	76321710	
196	sustainable energy vectors	73	47686076	
197	synthetic biology	12	10252952	
198	system on chip	240	123255458	
199	theoretical biology	107	56546768	
200	tissue engineering	203	75273733	
201	tools for the biosciences	2	133480	
202	transport ops & management	261	101968674	
203	underwater engineering	6	3127427	
204	upper atmos process & geospace	1	219973	
205	urban & land management	148	81998811	
206	vision & senses - ict appl.	151	30289567	
207	vlsi design	127	46009331	
208	waste management	59	31585718	
209	waste minimisation	63	18223472	
210	water engineering	177	50898445	
211	wind power	39	23671142	
