"acoustics","aerodynamics","4","£630,320.00"
"aerodynamics","building ops & management","2","£227,858.00"
"aerodynamics","combustion","2","£188,921.00"
"aerodynamics","fluid dynamics","4","£400,936.00"
"aerodynamics","intelligent measurement sys.","2","£369,405.00"
"aerodynamics","parallel computing","3","£421,251.00"
"algebra & geometry","continuum mechanics","3","£2,387,514.00"
"algebra & geometry","fundamentals of computing","3","£2,348,178.00"
"algebra & geometry","logic & combinatorics","4","£62,229.00"
"algebra & geometry","mathematical analysis","8","£4,729,570.00"
"algebra & geometry","mathematical physics","13","£2,724,169.00"
"algebra & geometry","non-linear systems mathematics","9","£4,777,275.00"
"algebra & geometry","theoretical biology","2","£2,309,825.00"
"analytical science","chemical synthetic methodology","2","£177,314.00"
"analytical science","electrochemical science & eng.","2","£292,621.00"
"analytical science","instrumentation eng. & dev.","10","£1,655,634.00"
"analytical science","materials characterisation","3","£297,604.00"
"analytical science","optoelect. devices & circuits","1","£7,863,900.00"
"analytical science","physical organic chemistry","1","£48,914.00"
"analytical science","separation processes","3","£241,951.00"
"artificial intelligence","design & testing technology","1","£79,754.00"
"artificial intelligence","fundamentals of computing","2","£198,449.00"
"artificial intelligence","image & vision computing","2","£307,396.00"
"artificial intelligence","information & knowledge mgmt","4","£546,502.00"
"artificial intelligence","robotics & autonomy","2","£51,857.00"
"artificial intelligence","software engineering","4","£343,187.00"
"assess/remediate contamination","instrumentation eng. & dev.","1","£49,710.00"
"asymmetric chemistry","biological & medicinal chem.","4","£359,062.00"
"asymmetric chemistry","catalysis & applied catalysis","7","£1,247,577.00"
"asymmetric chemistry","chemical synthetic methodology","6","£513,194.00"
"asymmetric chemistry","electrochemical science & eng.","1","£99,000.00"
"asymmetric chemistry","gas & solution phase reactions","2","£235,647.00"
"atoms & ions","chemical structure","6","£4,212,768.00"
"atoms & ions","condensed matter physics","1","£24,378.00"
"atoms & ions","gas & solution phase reactions","5","£3,115,095.00"
"atoms & ions","lasers & optics","9","£7,729,299.00"
"atoms & ions","oil & gas extraction","1","£135,201.00"
"atoms & ions","optical phenomena","3","£175,510.00"
"atoms & ions","quantum optics & information","5","£808,266.00"
"atoms & ions","surfaces & interfaces","2","£1,424,307.00"
"bioenergy","coal technology","2","£82,757.00"
"biological & medicinal chem.","catalysis & applied catalysis","3","£378,953.00"
"biological & medicinal chem.","chemical structure","9","£1,698,530.00"
"biological & medicinal chem.","chemical synthetic methodology","15","£4,372,887.00"
"biological & medicinal chem.","complex fluids & soft solids","1","£203,179.00"
"biological & medicinal chem.","design of process systems","2","£105,243.00"
"biological & medicinal chem.","electrochemical science & eng.","3","£360,522.00"
"biological & medicinal chem.","gas & solution phase reactions","4","£626,996.00"
"biological & medicinal chem.","instrumentation eng. & dev.","6","£1,372,661.00"
"biological & medicinal chem.","materials synthesis & growth","4","£446,989.00"
"biomaterials","instrumentation eng. & dev.","1","£114,667.00"
"biomaterials","materials characterisation","2","£104,391.00"
"biomaterials","tissue engineering","4","£4,205,876.00"
"bioprocess engineering","complex fluids & soft solids","1","£583,330.00"
"bioprocess engineering","materials characterisation","1","£309,846.00"
"building ops & management","civil engineering materials","5","£185,892.00"
"building ops & management","combustion","4","£473,257.00"
"building ops & management","construction ops & management","3","£1,094,089.00"
