Id	Label	Num	Val
1	acoustics	163	42759760	
2	aerodynamics	227	68273323	
3	algebra & geometry	558	87645143	
4	analytical science	352	127585114	
5	animal & human physiology	15	1540368	
6	applied arts htp	3	105995	
7	artificial intelligence	424	113099037	
8	assess/remediate contamination	91	25224774	
9	astron. & space sci. technol.	3	224705	
10	asymmetric chemistry	155	29828358	
11	atoms & ions	5	1680041	
12	bioelectronic devices	73	59252437	
13	bioenergy	70	37946111	
14	bioinformatics	115	42302496	
15	biological & medicinal chem.	392	156620153	
16	biological membranes	9	1459588	
17	biomaterials	290	102615189	
18	biomechanics & rehabilitation	57	31226401	
19	biomedical neuroscience	137	54141902	
20	bionanoscience	2	477392	
21	bionanotechnology	2	125500	
22	biophysics	21	7431980	
23	bioprocess engineering	121	30620921	
24	building ops & management	235	93514233	
25	carbohydrate chemistry	36	21765823	
26	carbon capture & storage	12	19049408	
27	catalysis & applied catalysis	534	128331364	
28	catalysis & enzymology	14	6138451	
29	cells	173	82995878	
30	chemical biology	377	146872141	
31	chemical structure	518	163434000	
32	chemical synthetic methodology	833	228631699	
33	civil engineering materials	204	67313044	
34	co-ordination chemistry	202	52721606	
35	coal technology	31	21285362	
36	coastal & waterway engineering	179	41536247	
37	cognitive science appl. in ict	124	34034420	
38	cold atomic species	118	48847399	
39	combinatorial chemistry	79	43819067	
40	combustion	230	62256796	
41	complex fluids & soft solids	308	101368533	
42	complexity science	78	27358020	
43	comput./corpus linguistics	45	12458975	
44	computer graphics & visual.	92	24505256	
45	computer sys. & architecture	15	11141810	
46	condensed matter physics	414	159648712	
47	construction ops & management	210	106725995	
48	continuum mechanics	303	52884668	
49	control engineering	254	123237305	
50	design & testing technology	123	88150086	
51	design engineering	148	98718525	
52	design htp	4	12422292	
53	design of process systems	163	78410261	
54	design processes	121	104501536	
55	development (biosciences)	67	17763030	
56	digital art & design	3	12381437	
57	digital arts htp	3	14889857	
58	digital signal processing	248	76784917	
59	displays	50	38143712	
60	drug formulation & delivery	140	42874611	
61	economics	4	24202309	
62	education	11	2501690	
63	electric motor & drive systems	79	31754971	
64	electrochemical science & eng.	154	49154033	
65	electromagnetics	52	25946802	
66	electronic devices & subsys.	380	187642388	
67	energy - conventional	62	44460426	
68	energy - marine & hydropower	36	24951360	
69	energy - nuclear	39	42728955	
70	energy efficiency	180	92407766	
71	energy storage	55	33428341	
72	eng. dynamics & tribology	295	105820527	
73	escience	41	38022845	
74	fluid dynamics	216	68289650	
75	food processing	3	1209056	
76	fuel cell technologies	121	46342449	
77	fundamentals of computing	673	137993580	
78	fusion	26	164347711	
79	galactic & interstellar astron	2	142346	
80	gas & solution phase reactions	260	87744036	
81	genomics	94	57085247	
82	ground engineering	179	39464108	
83	heat & mass transfer	145	37599948	
84	high performance computing	100	19145394	
85	human communication in ict	121	20144796	
86	human-computer interactions	294	133564251	
87	image & vision computing	444	142156888	
88	information & knowledge mgmt	428	207334615	
89	instrumentation eng. & dev.	569	223201085	
90	intelligent & expert systems	61	36013579	
91	intelligent measurement sys.	45	13409588	
92	interpreting & translation	2	329655	
93	language acquisition	3	192896	
94	language training/educational	2	121859	
95	lasers & optics	305	114747052	
96	light-matter interactions	94	30240221	
97	logic & combinatorics	189	38070447	
98	magnetism/magnetic phenomena	126	39643014	
99	management & business studies	7	1871987	
100	manufact. business strategy	115	110712471	
101	manufact. enterprise ops& mgmt	190	97964202	
102	manufacturing machine & plant	149	128618552	
103	materials characterisation	2389	759734489	
104	materials processing	899	320041055	
105	materials synthesis & growth	1173	430639300	
106	materials testing & eng.	411	179320340	
107	mathematical analysis	397	68015950	
108	mathematical aspects of or	163	62084009	
109	mathematical physics	263	50724586	
110	mech. & fluid power transmiss.	23	6319201	
111	med.instrument.device& equip.	314	149512248	
112	media & communication studies	9	17215909	
113	medical imaging	43	36199261	
114	medical science & disease	279	104492024	
115	microsystems	145	78729303	
116	mining & minerals extraction	39	7152469	
117	mobile computing	165	99965326	
118	modelling & simul. of it sys.	102	35914067	
119	multimedia	136	47972775	
120	multiphase flow	177	58497558	
121	musculoskeletal system	7	635908	
122	music & acoustic technology	29	5449813	
123	networks & distributed systems	471	191491096	
124	new & emerging comp. paradigms	158	54258668	
125	new media/web-based studies	10	25175136	
126	non-linear systems mathematics	404	83766241	
127	nuclear structure	86	23145374	
128	numerical analysis	356	75426513	
129	oil & gas extraction	106	20587376	
130	optical communications	152	75655526	
131	optical devices & subsystems	319	160108893	
132	optical phenomena	95	62703041	
133	optoelect. devices & circuits	254	138710965	
134	parallel computing	128	37003920	
135	particle technology	146	46188181	
136	pavement engineering	33	15717787	
137	physical organic chemistry	100	33071090	
138	plasmas - laser & fusion	102	37262964	
139	plasmas - technological	69	12785855	
140	policy, arts mgmt & creat ind	2	2084929	
141	pollution	2	427121	
142	population ecology	65	23685236	
143	power electronics	73	46397828	
144	power sys man, prot & control	96	43354612	
145	power systems plant	63	36516930	
146	product design	3	12380275	
147	protein chemistry	9	967564	
148	protein folding / misfolding	3	466251	
149	psycholinguistics	4	443798	
150	psychology	5	14038727	
151	publishing	4	1213731	
152	quantum fluids & solids	57	19577127	
153	quantum optics & information	156	75409081	
154	reactor engineering	181	38913260	
155	rf & microwave technology	256	99319921	
156	rheology	79	32175984	
157	robotics & autonomy	89	29667115	
158	safety & reliability of plant	18	10624681	
159	scattering & spectroscopy	122	30584497	
160	separation processes	108	24116911	
161	sociology	2	2910846	
162	software engineering	369	126787838	
163	solar technology	166	82482682	
164	statistics & appl. probability	318	79699402	
165	structural biology	3	822929	
166	structural engineering	120	23242706	
167	surfaces & interfaces	442	189026023	
168	sustainable energy networks	64	76321710	
169	sustainable energy vectors	73	47686076	
170	synthetic biology	12	10252952	
171	system on chip	240	123255458	
172	theoretical biology	107	56546768	
173	tissue engineering	203	75273733	
174	tools for the biosciences	2	133480	
175	transport ops & management	261	101968674	
176	underwater engineering	6	3127427	
177	urban & land management	148	81998811	
178	vision & senses - ict appl.	151	30289567	
179	vlsi design	127	46009331	
180	waste management	59	31585718	
181	waste minimisation	63	18223472	
182	water engineering	177	50898445	
183	wind power	39	23671142	
